DATE,MONTH,RainToday,RainTomorrow,BASEL_pressure,BASEL_humidity,BASEL_temp_mean,BASEL_sunshine,BASEL_pressure_lag1,BASEL_humidity_lag1,BASEL_temp_mean_lag1,BASEL_sunshine_lag1
2000-03-07,3,0,1,1.0299,0.61,6.4,10.5,1.0322,0.56,3.9,10.6
2000-03-08,3,1,0,1.0306,0.68,9.2,2.4,1.0299,0.61,6.4,10.5
2000-03-09,3,0,0,1.0278,0.53,14.1,3.9,1.0306,0.68,9.2,2.4
2000-03-10,3,0,0,1.0283,0.74,10.3,2.1,1.0278,0.53,14.1,3.9
2000-03-11,3,0,0,1.0225,0.66,11.1,5.9,1.0283,0.74,10.3,2.1
2000-03-12,3,0,1,1.0243,0.65,9.3,6.9,1.0225,0.66,11.1,5.9
2000-03-13,3,1,1,1.026,0.69,7.5,9.8,1.0243,0.65,9.3,6.9
2000-03-14,3,1,0,1.0242,0.7,10.5,0.4,1.026,0.69,7.5,9.8
2000-03-15,3,0,1,1.0306,0.61,5.4,4.0,1.0242,0.7,10.5,0.4
2000-03-16,3,1,1,1.032,0.73,5.4,0.0,1.0306,0.61,5.4,4.0
2000-03-17,3,1,1,1.0285,0.78,8.1,0.0,1.032,0.73,5.4,0.0
2000-03-18,3,1,0,1.0268,0.79,7.4,0.0,1.0285,0.78,8.1,0.0
2000-03-19,3,0,0,1.0287,0.79,6.5,0.3,1.0268,0.79,7.4,0.0
2000-03-20,3,0,0,1.0257,0.5,6.9,9.8,1.0287,0.79,6.5,0.3
2000-03-21,3,0,0,1.0217,0.56,8.2,11.1,1.0257,0.5,6.9,9.8
2000-03-22,3,0,1,1.019,0.54,10.3,11.0,1.0217,0.56,8.2,11.1
2000-03-23,3,1,0,1.0148,0.6,11.0,3.0,1.019,0.54,10.3,11.0
2000-03-24,3,0,0,1.014,0.65,11.1,1.8,1.0148,0.6,11.0,3.0
2000-03-25,3,0,1,1.0158,0.62,10.9,8.2,1.014,0.65,11.1,1.8
2000-03-26,3,1,1,1.0127,0.69,8.0,0.9,1.0158,0.62,10.9,8.2
2000-03-27,3,1,1,1.0089,0.74,6.0,2.1,1.0127,0.69,8.0,0.9
2000-03-28,3,1,1,1.0104,0.78,5.7,0.6,1.0089,0.74,6.0,2.1
2000-03-29,3,1,0,1.0083,0.87,3.8,0.0,1.0104,0.78,5.7,0.6
2000-03-30,3,0,1,1.0133,0.7,5.7,0.0,1.0083,0.87,3.8,0.0
2000-03-31,3,1,0,1.0088,0.61,8.7,5.3,1.0133,0.7,5.7,0.0
2000-04-01,4,0,1,1.008,0.77,7.1,1.2,1.0088,0.61,8.7,5.3
2000-04-02,4,1,0,1.0028,0.62,9.2,10.7,1.008,0.77,7.1,1.2
2000-04-03,4,0,1,0.992,0.6,12.9,3.9,1.0028,0.62,9.2,10.7
2000-04-04,4,1,1,0.9942,0.68,11.5,4.8,0.992,0.6,12.9,3.9
2000-04-05,4,1,0,1.0063,0.84,8.6,0.0,0.9942,0.68,11.5,4.8
2000-04-06,4,0,0,1.0242,0.84,3.8,0.0,1.0063,0.84,8.6,0.0
2000-04-07,4,0,0,1.0289,0.63,5.9,12.3,1.0242,0.84,3.8,0.0
2000-04-08,4,0,0,1.0216,0.53,9.1,12.4,1.0289,0.63,5.9,12.3
2000-04-09,4,0,1,1.0097,0.55,10.3,5.8,1.0216,0.53,9.1,12.4
2000-04-10,4,1,1,1.0059,0.59,10.2,4.7,1.0097,0.55,10.3,5.8
2000-04-11,4,1,1,0.9987,0.77,9.6,1.8,1.0059,0.59,10.2,4.7
2000-04-12,4,1,1,0.9972,0.64,8.4,6.5,0.9987,0.77,9.6,1.8
2000-04-13,4,1,0,1.0026,0.81,8.3,0.1,0.9972,0.64,8.4,6.5
2000-04-14,4,0,1,1.0007,0.69,12.5,9.4,1.0026,0.81,8.3,0.1
2000-04-15,4,1,1,1.0029,0.67,10.0,1.0,1.0007,0.69,12.5,9.4
2000-04-16,4,1,1,1.0023,0.75,8.6,1.9,1.0029,0.67,10.0,1.0
2000-04-17,4,1,0,1.0076,0.76,9.6,0.0,1.0023,0.75,8.6,1.9
2000-04-18,4,0,0,1.0112,0.75,9.6,0.4,1.0076,0.76,9.6,0.0
2000-04-19,4,0,0,1.0132,0.71,10.1,4.8,1.0112,0.75,9.6,0.4
2000-04-20,4,0,0,1.015,0.63,12.9,12.0,1.0132,0.71,10.1,4.8
2000-04-21,4,0,0,1.016,0.59,16.8,9.2,1.015,0.63,12.9,12.0
2000-04-22,4,0,1,1.0114,0.56,18.4,8.6,1.016,0.59,16.8,9.2
2000-04-23,4,1,1,1.0112,0.7,14.8,3.0,1.0114,0.56,18.4,8.6
2000-04-24,4,1,0,1.0154,0.82,10.3,2.5,1.0112,0.7,14.8,3.0
2000-04-25,4,0,0,1.013,0.67,13.5,12.2,1.0154,0.82,10.3,2.5
2000-04-26,4,0,0,1.0099,0.57,17.8,11.9,1.013,0.67,13.5,12.2
2000-04-27,4,0,0,1.0078,0.64,16.3,0.9,1.0099,0.57,17.8,11.9
2000-04-28,4,0,0,1.008,0.74,14.9,4.1,1.0078,0.64,16.3,0.9
2000-04-29,4,0,0,1.0174,0.77,11.8,0.0,1.008,0.74,14.9,4.1
2000-04-30,4,0,0,1.0198,0.71,15.1,11.2,1.0174,0.77,11.8,0.0
2000-05-01,5,0,0,1.0171,0.73,17.0,9.6,1.0198,0.71,15.1,11.2
2000-05-02,5,0,0,1.0161,0.76,17.0,7.0,1.0171,0.73,17.0,9.6
2000-05-03,5,0,0,1.0175,0.75,16.5,4.6,1.0161,0.76,17.0,7.0
2000-05-04,5,0,0,1.017,0.67,17.5,4.6,1.0175,0.75,16.5,4.6
2000-05-05,5,0,0,1.0145,0.7,17.0,8.8,1.017,0.67,17.5,4.6
2000-05-06,5,0,0,1.0134,0.71,16.7,8.5,1.0145,0.7,17.0,8.8
2000-05-07,5,0,1,1.0152,0.67,18.0,8.8,1.0134,0.71,16.7,8.5
2000-05-08,5,1,0,1.0183,0.75,16.9,6.1,1.0152,0.67,18.0,8.8
2000-05-09,5,0,0,1.0172,0.65,18.8,11.0,1.0183,0.75,16.9,6.1
2000-05-10,5,0,1,1.015,0.64,20.0,8.4,1.0172,0.65,18.8,11.0
2000-05-11,5,1,0,1.0151,0.67,20.5,9.8,1.015,0.64,20.0,8.4
2000-05-12,5,0,1,1.0207,0.8,16.7,0.1,1.0151,0.67,20.5,9.8
2000-05-13,5,1,0,1.0216,0.82,16.2,0.3,1.0207,0.8,16.7,0.1
2000-05-14,5,0,0,1.0219,0.68,18.4,12.2,1.0216,0.82,16.2,0.3
2000-05-15,5,0,0,1.0204,0.58,19.4,12.8,1.0219,0.68,18.4,12.2
2000-05-16,5,0,1,1.0171,0.6,20.9,10.1,1.0204,0.58,19.4,12.8
2000-05-17,5,1,1,1.016,0.74,17.3,4.6,1.0171,0.6,20.9,10.1
2000-05-18,5,1,1,1.0136,0.68,13.6,2.6,1.016,0.74,17.3,4.6
2000-05-19,5,1,1,1.0142,0.66,12.0,3.3,1.0136,0.68,13.6,2.6
2000-05-20,5,1,1,1.0144,0.58,13.0,8.8,1.0142,0.66,12.0,3.3
2000-05-21,5,1,0,1.0118,0.68,12.8,4.4,1.0144,0.58,13.0,8.8
2000-05-22,5,0,0,1.0198,0.64,12.4,8.8,1.0118,0.68,12.8,4.4
2000-05-23,5,0,0,1.0209,0.61,14.4,13.8,1.0198,0.64,12.4,8.8
2000-05-24,5,0,0,1.0175,0.6,17.4,13.6,1.0209,0.61,14.4,13.8
2000-05-25,5,0,1,1.0172,0.69,16.8,0.6,1.0175,0.6,17.4,13.6
2000-05-26,5,1,1,1.0149,0.71,18.4,8.1,1.0172,0.69,16.8,0.6
2000-05-27,5,1,1,1.0174,0.75,13.4,3.8,1.0149,0.71,18.4,8.1
2000-05-28,5,1,1,1.0126,0.68,14.1,0.6,1.0174,0.75,13.4,3.8
2000-05-29,5,1,1,1.0179,0.66,12.8,3.8,1.0126,0.68,14.1,0.6
2000-05-30,5,1,1,1.0165,0.79,12.4,0.6,1.0179,0.66,12.8,3.8
2000-05-31,5,1,0,1.0194,0.78,15.1,2.4,1.0165,0.79,12.4,0.6
2000-06-01,6,0,0,1.0234,0.68,17.8,12.5,1.0194,0.78,15.1,2.4
2000-06-02,6,0,1,1.0203,0.63,21.7,10.7,1.0234,0.68,17.8,12.5
2000-06-03,6,1,1,1.0174,0.64,22.8,12.0,1.0203,0.63,21.7,10.7
2000-06-04,6,1,1,1.0171,0.65,23.4,11.8,1.0174,0.64,22.8,12.0
2000-06-05,6,1,1,1.0162,0.8,19.6,7.6,1.0171,0.65,23.4,11.8
2000-06-06,6,1,0,1.0221,0.84,13.4,0.0,1.0162,0.8,19.6,7.6
