model,accuracy,precision,recall,f1
Improved Logistic Regression,0.667578659370725,0.6404199475065617,0.6971428571428572,0.667578659370725
Random Forest,0.6703146374829001,0.6552706552706553,0.6571428571428571,0.6562054208273894
